索引,上衣顏色,上衣花紋,上衣類型,下裝顏色,下裝花紋,下裝種類,高跟鞋顏色,高跟鞋種類,雙手動作,表情,飾品配件,場景,動作,指甲顏色
65,Grass Green + Cream White,,,Grass Green + Cream White,,,,,,,"Leather Strap Watch, Pearl Choker, Stud Earrings, Hair Bow, Shoulder Bag","Spacious studio with painting materials, even daylight","Seated sideways on a bench with legs hanging down and knees slightly apart, hips subtly angled toward camera.",
66,Magenta + Silver Gray,,,Magenta + Silver Gray,,,,,,,"Rose Gold Bracelet, Layered Necklace Set, Hoop Earrings, Hair Ribbon, Crossbody Bag","Sunlit art gallery with white walls, uniform illumination on paintings","Side butterfly squat, one knee slightly higher than the other, heels lightly together, torso upright, balance and poise perfectly maintained.",
67,Forest Green + Off White,,,Forest Green + Off White,,,,,,,"Gold Bangle Bracelet, Velvet Choker, Drop Earrings, Hair Pin, Clutch Bag","Sunlit balcony garden with hanging plants, even illumination","Side lunge with one leg bent deeply and the other stretched fully to the side, torso upright, weight evenly distributed, toes elegantly pointed.",
68,Bright Primary Red + Pure White + Jet Black,,,Bright Primary Red + Pure White + Jet Black,,,,,,,"Gemstone Ring, Silk Scarf, Stud Earrings, Hair Flower, Belt","Sunlit balcony with plants, evenly bright daylight","Side step pose with one foot on stair, other leg stretched sideways, torso facing camera, elegant leg line.",
69,Royal Blue + Pure White + Metallic Gold,,,Royal Blue + Pure White + Metallic Gold,,,,,,,"Stacked Rings, Pearl Necklace, Hoop Earrings, Hair Ribbon, Shoulder Bag","Sunlit bedroom with cozy bed and bedside lamp off, evenly lit","Side-facing squat with hips rotated toward camera, knees bent wide, heels grounded, body forming a soft curve.",
70,Grass Green + Lemon Yellow + Pure White,,,Grass Green + Lemon Yellow + Pure White,,,,,,,"Leather Strap Watch, Gold Pendant Necklace, Drop Earrings, Hair Clip, Crossbody Bag","Sunlit caf? interior with bar counter, evenly illuminated","Sitting atop a large vintage suitcase placed horizontally, legs crossed tightly at the knees, the top leg pointing straight down, emphasizing a slender silhouette against the wide prop.",
71,Indigo Purple + Silver Gray + Jet Black,,,Indigo Purple + Silver Gray + Jet Black,,,,,,,,"Sunlit caf? interior with wooden tables, bright warm light","Sitting backward straddling a chair, legs spread wide around the chair back, chest pressed against the backrest, centered and grounded.",
72,Turquoise + Bright Orange + Pure White,,,Turquoise + Bright Orange + Pure White,,,,,,,,"Sunlit garden path with flowers on both sides, light uniform","Sitting cross-legged on floor, torso straight, knees angled slightly outward, feet flexed toward camera.",
73,Navy Blue + Khaki + Cream White,,,Navy Blue + Khaki + Cream White,,,,,,,,"Sunlit garden with small fountain, evenly bright light","Sitting cross-legged on stool, knees angled outward, toes pointed, torso upright, looking directly at camera.",
74,Hot Magenta + Pure Cyan + Jet Black,,,Hot Magenta + Pure Cyan + Jet Black,,,,,,,,Sunlit hallway with polished floors reflecting ambient light,"Sitting curled up tightly, hugging both knees close to the chest, feet lifted off the ground, compressing the body into a compact, rounded ball shape.",
75,Chocolate Brown + Warm Beige + Forest Green,,,Chocolate Brown + Warm Beige + Forest Green,,,,,,,,"Sunlit hallway with wooden floor, evenly illuminated","Sitting flat on the floor in a W-shape with knees touching tightly together in the center, calves folded back along the outside of thighs, feet pointing backward.",
76,Sky Blue + Lemon Yellow + Pure White,,,Sky Blue + Lemon Yellow + Pure White,,,,,,,,"Sunlit kitchen with hanging pots and utensils, uniform bright light","Sitting flat on the floor with legs crossed comfortably, knees spread wide to anchor the bottom corners of the frame, posture perfectly upright.",
77,Forest Green + Copper Brown + Off White,,,Forest Green + Copper Brown + Off White,,,,,,,,"Sunlit living room with sofa and rug, evenly illuminated","Sitting flat with legs extended straight forward toward the camera, ankles crossed gracefully at the prominent point, toes pointed slightly downward.",
78,Royal Blue + Pure White + Jet Black,,,Royal Blue + Pure White + Jet Black,,,,,,,,"Sunlit reading corner with armchair, uniform bright light","Sitting high up, legs hanging down and separated slightly into a narrow V-shape, knees facing inward to protect modesty.",
79,Deep Crimson + Cream White + Charcoal Gray,,,Deep Crimson + Cream White + Charcoal Gray,,,,,,,,"Sunlit terrace garden with flowers, even daylight across space","Sitting in a loose cross-legged position, knees relaxed and dropped low to the ground, ankles barely hooked.",
80,Turquoise + Silver Gray + Jet Black,,,Turquoise + Silver Gray + Jet Black,,,,,,,,"Sunny garden with colorful flowers and green lawn, light evenly spread","Sitting on a chair backward with hips pressed close to the seat edge, thighs angled downward, legs forming a strong inverted V-shape.",
81,Bright Orange + Navy Blue + Pure White,,,Bright Orange + Navy Blue + Pure White,,,,,,,,,"Sitting on a flat surface, leaning back on hands, with both knees pulled up and feet resting on the edges of the seat.",
82,Emerald Green + Cream White + Chocolate Brown,,,Emerald Green + Cream White + Chocolate Brown,,,,,,,,,"Sitting on a low object, knees wide apart but toes touching together on the floor in the center, creating a diamond shape with the legs.",
83,Magenta + Pure White + Jet Black,,,Magenta + Pure White + Jet Black,,,,,,,,,"Sitting on a picnic blanket with legs extended straight towards the camera, leaning back on hands for support, feet flexed, creating a deep perspective where legs look incredibly long.",
84,Indigo Purple + Metallic Gold + Jet Black,,,Indigo Purple + Metallic Gold + Jet Black,,,,,,,,,"Sitting on a stair landing with knees apart and feet resting on lower step, hips centered and grounded.",
85,Royal Blue + Lemon Yellow + Charcoal Gray,,,Royal Blue + Lemon Yellow + Charcoal Gray,,,,,,,,,"Sitting on a stool with legs extended diagonally and knees relaxed outward, hips subtly forward for a sultry stance.",
86,Grass Green + Pure White + Silver Gray,,,Grass Green + Pure White + Silver Gray,,,,,,,,,"Sitting on a surface, one leg hanging straight down, the other knee bent with the foot resting lightly against the straight leg's calf",
87,Turquoise + Coral Free Orange + Cream White,,,Turquoise + Coral Free Orange + Cream White,,,,,,,,,"Sitting on a tall stack of giant hardcover books, legs dangling off the ground, swinging slightly, toes pointed down, emphasizing the gap between feet and floor.",
88,Navy Blue + Metallic Gold + Pure White,,,Navy Blue + Metallic Gold + Pure White,,,,,,,,,"Sitting on edge of raised platform with knees bent, heels on platform edge, toes pointing outward, torso upright.",
89,Sky Blue + Charcoal Gray + Pure White,,,Sky Blue + Charcoal Gray + Pure White,,,,,,,,,"Sitting on one folded leg while the other leg is extended diagonally straight out to the side corner of the frame, toes pointed.",
90,Forest Green + Khaki + Off White,,,Forest Green + Khaki + Off White,,,,,,,,,"Sitting on one hip on the floor, legs stacked and bent at the knees, feet tucked behind, creating a triangular base.",
91,Magenta + Silver Gray + Jet Black,,,Magenta + Silver Gray + Jet Black,,,,,,,,,"Sitting on stairs with legs bent to side, one foot slightly forward, back straight, head facing camera.",
92,Indigo Purple + Cream White + Jet Black,,,Indigo Purple + Cream White + Jet Black,,,,,,,,,"Sitting on the backrest of a park bench rather than the seat, feet resting on the bench seat below, knees together, creating a tiered composition that fills the upper and lower frame.",
93,Bright Primary Red + Silver Gray + Jet Black,,,Bright Primary Red + Silver Gray + Jet Black,,,,,,,,,"Sitting on the edge of a chair with knees parted slightly and legs stretched forward, heels grounded, hips subtly angled to emphasize thigh length.",
94,Royal Blue + Cream White + Gold,,,Royal Blue + Cream White + Gold,,,,,,,,,"Sitting on the edge of a low stair, legs together but stretched forward, toes pointed, back straight, looking directly at camera.",
95,Emerald Green + Warm Beige + Chocolate Brown,,,Emerald Green + Warm Beige + Chocolate Brown,,,,,,,,,"Sitting on the edge of a sturdy school desk, leaning back slightly to support weight, both legs extended forward towards the camera lens creating a foreshortening effect, ankles crossed elegantly.",
96,Bright Turquoise + Pure White + Silver Gray,,,Bright Turquoise + Pure White + Silver Gray,,,,,,,,,"Sitting on the edge of a table with legs angled downward and slightly apart, hips forward, creating a teasing vertical leg line.",
97,Burgundy Red + Cream White + Charcoal Gray,,,Burgundy Red + Cream White + Charcoal Gray,,,,,,,,,"Sitting on the floor with both legs swept elegantly to one side, knees bent and stacked, creating a diagonal flow across the square frame.",
98,Sky Blue + Pure White + Navy Blue,,,Sky Blue + Pure White + Navy Blue,,,,,,,,,"Sitting on the floor with both legs swept elegantly to one side, knees stacked neatly together, calves varying slightly in angle to show leg length.",
99,Forest Green + Silver Gray + Jet Black,,,Forest Green + Silver Gray + Jet Black,,,,,,,,,"Sitting on the ground in a W-shape, with knees touching in the center and feet splayed out widely to the sides, keeping the torso straight and centered.",
100,Turquoise + Lemon Yellow + Pure White,,,Turquoise + Lemon Yellow + Pure White,,,,,,,,,"Sitting on the hood of a car, leaning back on palms, legs crossed at the ankles and stretched diagonally towards the bumper, utilizing the car's width to frame the legs.",
101,Chocolate Brown + Cream White + Gold,,,Chocolate Brown + Cream White + Gold,,,,,,,,,"Sitting on the middle step of a staircase, legs stretched out diagonally across the frame to the bottom corner, knees pressed together, torso upright creating a long elegant line from head to toe.",
102,Magenta + Jet Black + Pure White,,,Magenta + Jet Black + Pure White,,,,,,,,,"Sitting on the top step of a wooden stepladder, one foot resting on a high rung, the other leg dangling freely all the way down, creating visual layers and depth.",
103,Indigo Purple + Silver Gray + Cream White,,,Indigo Purple + Silver Gray + Cream White,,,,,,,,,"Sitting on the very edge, leaning the torso back, legs kicked slightly forward and hovering in the air, kept parallel and close.",
104,Navy Blue + Khaki + Off White,,,Navy Blue + Khaki + Off White,,,,,,,,,"Sitting sideways on a plush rug but torso turned to face forward, legs swept out to the side together, knees bent slightly, highlighting the curve of the calves and thighs without exposure.",
105,Bright Orange + Silver Gray + Jet Black,,,Bright Orange + Silver Gray + Jet Black,,,,,,,,,"Sitting with knees pulled up high toward the chest, feet planted close together flat on the ground, legs kept parallel and vertical",
106,Emerald Green + Pure White + Silver Gray,,,Emerald Green + Pure White + Silver Gray,,,,,,,,,"Sitting with legs extended forward but knees knocked slightly inward to touch, feet placed apart in a pigeon-toed stance.",
107,Sky Blue + Lemon Yellow + Cream White,,,Sky Blue + Lemon Yellow + Cream White,,,,,,,,,"Sitting with legs extended straight forward towards the camera, torso leaning far back, supported by weight behind, creating depth.",
108,Forest Green + Copper Brown + Cream White,,,Forest Green + Copper Brown + Cream White,,,,,,,,,"Sitting with legs opened in a wide V-shape split towards the bottom corners, torso centered, maximizing the horizontal space usage.",
109,Royal Blue + Pure White + Silver Gray,,,Royal Blue + Pure White + Silver Gray,,,,,,,,,"Sitting with one leg folded in front and the other leg folded back, creating a zigzag line with the thighs on the floor.",
110,Deep Crimson + Pure White + Jet Black,,,Deep Crimson + Pure White + Jet Black,,,,,,,,,"Sitting with soles of feet touching together, knees dropped outward but kept relatively high to form a diamond shape, creating a contained pose.",
111,Turquoise + Cream White + Gold,,,Turquoise + Cream White + Gold,,,,,,,,,"Sitting with the soles of the feet touching each other, knees dropped completely open to the sides like butterfly wings, creating a wide diamond shape with the legs.",
112,Grass Green + Lemon Yellow + Cream White,,,Grass Green + Lemon Yellow + Cream White,,,,,,,,,"Slow sink squat with feet parallel and slightly apart, knees forward, hips lowered deliberately, creating a soft but provocative silhouette.",
113,Magenta + Cream White + Charcoal Gray,,,Magenta + Cream White + Charcoal Gray,,,,,,,,,"Squat on chair with heels touching seat, knees wide, torso leaning slightly forward, camera-facing.",
114,Emerald Green + Warm Beige + Off White,,,Emerald Green + Warm Beige + Off White,,,,,,,,,"Squat on the edge of a low table, knees wide apart but heels touching, torso straight, feet angled outward.",
115,,,,,,,,,,,,,"Squatting down deeply on tiptoes, knees pressed firmly together in the center, heels raised high off the ground, thighs keeping a downward slope.",
116,,,,,,,,,,,,,"Step-down pose frozen mid-motion, one foot on stair and the other hovering just above ground, hips centered.",
117,,,,,,,,,,,,,"Step-up pose on low platform, one foot fully on step, other leg straightened behind, upper body facing camera, legs fully visible.",
118,,,,,,,,,,,,,"Super deep kawaii frog squat with knees bent super low and spread apart like a little frog, heels glued under body, toes pointing cutely outward, keeping perfect balance.",
119,,,,,,,,,,,,,"Super deep kawaii frog squat with knees bent super low and spread apart like a little frog, heels kept perfectly glued together under body, toes pointing cutely outward, maintaining perfect idol balance.",
120,,,,,,,,,,,,,"Symmetrical deep squat with knees pressed strictly together, heels raised slightly, keeping the body bundled into a tight, adorable vertical oval shape in the center.",
121,,,,,,,,,,,,,"Ultra-low teasing squat with knees wide and heels together, hips hovering just above ground, toes angled outward, posture steady and intentionally slow.",
122,,,,,,,,,,,,,"Upper body leaning heavily towards the camera lens, making the face prominent while the body recedes into the background, creating intense foreshortening.",
123,,,,,,,,,,,,,"Wide low squat with thighs slightly turned, heels close together, knees outward, torso leaning lightly forward, perfectly balanced.",
124,,,,,,,,,,,,,"Wide squat with heels planted and knees pushed outward, hips lowered deep but spine upright for elegance.",
125,,,,,,,,,,,,,"Wide-knee crouch with hips dropped low and toes turned outward, heels touching, posture controlled and intentionally slow.",
126,,,,,,,,,,,,,"Wide-legged kneel on the floor, thighs angled outward, heels touching, torso upright, creating elongated leg line.",
127,,,,,,,,,,,,,"Wide-legged seated pose, thighs bent and feet flat on floor, upper body upright, knees slightly apart to fill frame.",
128,,,,,,,,,,,,,"Wide-legged squat on floor with heels together, toes pointed outward, torso upright, creating symmetrical leg frame.",
129,,,,,,,,,,,,,"Wide-legged squat, thighs nearly parallel to the floor, heels touching lightly, back straight, head lifted slightly, giving stable yet dynamic pose.",
130,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,
